historian,period_label,interest,year,publication_title
Ernst Steinmann,Christian art,Michelangelo,1906,Das geheimnis der Medicigraeber Michel Angelos
Werner Cohn,Christian art,christian architecture,1958,Chiese di Ravenna
John Pope-Hennessy,Christian art,Michelangelo,1969,Sculpture: Renaissance to rococo
Julian Kliemann,Christian art,Michelangelo,2004,Italian frescoes : the high Renaissance to the Baroque
Richard Krautheimer,Christian art,Michelangelo,1971,Ghiberti's bronze doors
Stefano Tumidei,Christian art,Michelangelo,2002,Il Michelangelo incognito : Alessandro Menganti e le arti a Bologna nell'età della Controriforma
Richard Krautheimer,Christian art,Christian art,1965,Early Christian and Byzantine architecture
Ernst Steinmann,Christian art,Michelangelo,1930,Michelangelo im Spiegel seiner Zeit
Wolfgang Lotz,Christian art,Michelangelo,1995,"Architecture in Italy, 1500-1600"
Leo Steinberg,Christian art,Michelangelo,1975,"Michelangelo's last paintings : the Conversion of St. Paul and the Crucifixion of St. Peter in the Cappella Paolina, Vatican Palace"
Richard Krautheimer,Christian art,christian architecture,1942,The Carolingian Revival of Early Christian Architecture
Ernst Steinmann,Christian art,Michelangelo,1927,"Michelangelo-Bibliographie, 1927-1970"
Leo Steinberg,Christian art,Michelangelo,2019,Michelangelo's painting : selected essays
Leo Steinberg,Christian art,Michelangelo,1970,The metaphors of love and birth in Michelangelo's Pietàs
Richard Krautheimer,Christian art,christian architecture,1965,Early Christian and Byzantine architecture
Julian Kliemann,Christian art,Michelangelo,2010,Michelangelo und die Fassade von San Lorenzo in Florenz : zur Geschichte der Skulpturenfassade der Renaissance
Richard Krautheimer,Christian art,Christian art,1969,"Studies in early Christian, Medieval, and Renaissance art"
Leo Steinberg,Christian art,Michelangelo,2020,Renaissance and baroque art : selected essays
Ernst Steinmann,Christian art,Michelangelo,1932,Michelangelo e Luigi del Riccio : con documenti inediti
Ernst Steinmann,Christian art,Michelangelo,1938,Die Aufzeichnungen des Michelangelo Buonarroti im Britischen Museum in London und im Vermächtnis Ernst Steinmann in Rom
Ernst Steinmann,Christian art,Michelangelo,1913,Die Portraitdarstellungen des Michelangelo
Leo Steinberg,Christian art,Michelangelo,2018,Michelangelo's sculpture : selected essays
