Artistic Period,Timespan,avg
14th century,1880,0.0
14th century,1890,0.0
14th century,1900,0.0
14th century,1910,0.0
14th century,1920,0.0
14th century,1930,0.0
14th century,1940,0.0
14th century,1950,1.0
14th century,1960,1.0
14th century,1970,1.2
14th century,1980,1.0
14th century,1990,1.0
14th century,2000,1.0
14th century,2010,1.0
14th century,2020,0.0
15th century,1880,0.0
15th century,1890,0.0
15th century,1900,1.0
15th century,1910,0.0
15th century,1920,1.0
15th century,1930,2.1
15th century,1940,2.3
15th century,1950,3.1
15th century,1960,4.6
15th century,1970,4.4
15th century,1980,5.2
15th century,1990,5.6
15th century,2000,3.8
15th century,2010,2.667
15th century,2020,0.0
16th century,1880,0.0
16th century,1890,0.0
16th century,1900,1.0
16th century,1910,0.0
16th century,1920,1.0
16th century,1930,1.7
16th century,1940,3.3
16th century,1950,3.0
16th century,1960,4.5
16th century,1970,4.3
16th century,1980,4.4
16th century,1990,5.1
16th century,2000,3.8
16th century,2010,2.667
16th century,2020,0.0
17th century,1880,0.0
17th century,1890,0.0
17th century,1900,0.0
17th century,1910,0.0
17th century,1920,1.0
17th century,1930,1.5
17th century,1940,2.3
17th century,1950,3.0
17th century,1960,4.0
17th century,1970,3.3
17th century,1980,3.4
17th century,1990,4.0
17th century,2000,2.8
17th century,2010,1.667
17th century,2020,0.0
18th century,1880,0.0
18th century,1890,0.0
18th century,1900,0.0
18th century,1910,0.0
18th century,1920,0.0
18th century,1930,0.0
18th century,1940,0.0
18th century,1950,0.0
18th century,1960,1.0
18th century,1970,1.2
18th century,1980,1.7
18th century,1990,2.0
18th century,2000,1.8
18th century,2010,1.111
18th century,2020,0.0
19th century,1880,0.0
19th century,1890,0.0
19th century,1900,0.0
19th century,1910,0.0
19th century,1920,0.0
19th century,1930,0.0
19th century,1940,0.0
19th century,1950,0.0
19th century,1960,1.0
19th century,1970,1.1
19th century,1980,1.0
19th century,1990,1.0
19th century,2000,1.0
19th century,2010,1.0
19th century,2020,0.0
Baroque,1880,0.0
Baroque,1890,0.0
Baroque,1900,0.0
Baroque,1910,0.0
Baroque,1920,1.833
Baroque,1930,2.8
Baroque,1940,5.0
Baroque,1950,5.2
Baroque,1960,5.5
Baroque,1970,4.6
Baroque,1980,4.2
Baroque,1990,4.1
Baroque,2000,2.2
Baroque,2010,1.0
Baroque,2020,1.0
Byzantine art,1880,0.0
Byzantine art,1890,0.0
Byzantine art,1900,0.0
Byzantine art,1910,0.0
Byzantine art,1920,0.0
Byzantine art,1930,0.0
Byzantine art,1940,1.0
Byzantine art,1950,1.0
Byzantine art,1960,1.0
Byzantine art,1970,1.0
Byzantine art,1980,1.0
Byzantine art,1990,1.0
Byzantine art,2000,1.0
Byzantine art,2010,0.0
Byzantine art,2020,0.0
Cold war,1880,0.0
Cold war,1890,0.0
Cold war,1900,0.0
Cold war,1910,0.0
Cold war,1920,0.0
Cold war,1930,0.0
Cold war,1940,0.0
Cold war,1950,1.0
Cold war,1960,1.0
Cold war,1970,0.0
Cold war,1980,0.0
Cold war,1990,0.0
Cold war,2000,0.0
Cold war,2010,0.0
Cold war,2020,0.0
Dutch golden age painting,1880,0.0
Dutch golden age painting,1890,0.0
Dutch golden age painting,1900,0.0
Dutch golden age painting,1910,0.0
Dutch golden age painting,1920,0.0
Dutch golden age painting,1930,0.0
Dutch golden age painting,1940,0.0
Dutch golden age painting,1950,0.0
Dutch golden age painting,1960,1.0
Dutch golden age painting,1970,1.0
Dutch golden age painting,1980,0.0
Dutch golden age painting,1990,0.0
Dutch golden age painting,2000,0.0
Dutch golden age painting,2010,0.0
Dutch golden age painting,2020,0.0
Early christian art and architecture,1880,0.0
Early christian art and architecture,1890,0.0
Early christian art and architecture,1900,0.0
Early christian art and architecture,1910,0.0
Early christian art and architecture,1920,0.0
Early christian art and architecture,1930,0.0
Early christian art and architecture,1940,1.0
Early christian art and architecture,1950,1.1
Early christian art and architecture,1960,1.0
Early christian art and architecture,1970,1.0
Early christian art and architecture,1980,1.0
Early christian art and architecture,1990,1.0
Early christian art and architecture,2000,1.0
Early christian art and architecture,2010,0.0
Early christian art and architecture,2020,0.0
Expressionism,1880,0.0
Expressionism,1890,0.0
Expressionism,1900,0.0
Expressionism,1910,0.0
Expressionism,1920,0.0
Expressionism,1930,0.0
Expressionism,1940,0.0
Expressionism,1950,0.0
Expressionism,1960,1.0
Expressionism,1970,1.0
Expressionism,1980,1.0
Expressionism,1990,0.0
Expressionism,2000,1.0
Expressionism,2010,0.0
Expressionism,2020,0.0
Gothic art,1880,0.0
Gothic art,1890,0.0
Gothic art,1900,0.0
Gothic art,1910,0.0
Gothic art,1920,0.0
Gothic art,1930,0.0
Gothic art,1940,1.0
Gothic art,1950,1.4
Gothic art,1960,1.0
Gothic art,1970,1.0
Gothic art,1980,1.0
Gothic art,1990,0.0
Gothic art,2000,0.0
Gothic art,2010,0.0
Gothic art,2020,0.0
Impressionism,1880,0.0
Impressionism,1890,0.0
Impressionism,1900,0.0
Impressionism,1910,0.0
Impressionism,1920,0.0
Impressionism,1930,0.0
Impressionism,1940,1.0
Impressionism,1950,1.0
Impressionism,1960,1.0
Impressionism,1970,1.0
Impressionism,1980,1.0
Impressionism,1990,0.0
Impressionism,2000,1.0
Impressionism,2010,0.0
Impressionism,2020,0.0
Mannerism,1880,0.0
Mannerism,1890,1.0
Mannerism,1900,1.0
Mannerism,1910,0.0
Mannerism,1920,1.833
Mannerism,1930,2.5
Mannerism,1940,3.3
Mannerism,1950,3.3
Mannerism,1960,3.2
Mannerism,1970,2.5
Mannerism,1980,2.5
Mannerism,1990,2.0
Mannerism,2000,1.0
Mannerism,2010,1.333
Mannerism,2020,0.0
Medieval art,1880,0.0
Medieval art,1890,0.0
Medieval art,1900,0.0
Medieval art,1910,0.0
Medieval art,1920,0.0
Medieval art,1930,0.0
Medieval art,1940,0.0
Medieval art,1950,0.0
Medieval art,1960,1.0
Medieval art,1970,0.0
Medieval art,1980,0.0
Medieval art,1990,0.0
Medieval art,2000,1.0
Medieval art,2010,0.0
Medieval art,2020,0.0
Middle ages,1880,0.0
Middle ages,1890,0.0
Middle ages,1900,0.0
Middle ages,1910,0.0
Middle ages,1920,0.0
Middle ages,1930,1.333
Middle ages,1940,2.3
Middle ages,1950,2.0
Middle ages,1960,1.2
Middle ages,1970,1.1
Middle ages,1980,1.0
Middle ages,1990,1.0
Middle ages,2000,0.0
Middle ages,2010,0.0
Middle ages,2020,0.0
Modern art,1880,0.0
Modern art,1890,0.0
Modern art,1900,0.0
Modern art,1910,0.0
Modern art,1920,0.0
Modern art,1930,0.0
Modern art,1940,1.0
Modern art,1950,2.0
Modern art,1960,2.0
Modern art,1970,2.0
Modern art,1980,2.0
Modern art,1990,1.571
Modern art,2000,1.0
Modern art,2010,0.0
Modern art,2020,1.0
Neo-dada,1880,0.0
Neo-dada,1890,0.0
Neo-dada,1900,0.0
Neo-dada,1910,0.0
Neo-dada,1920,0.0
Neo-dada,1930,0.0
Neo-dada,1940,0.0
Neo-dada,1950,1.0
Neo-dada,1960,1.0
Neo-dada,1970,1.0
Neo-dada,1980,1.0
Neo-dada,1990,1.0
Neo-dada,2000,0.0
Neo-dada,2010,0.0
Neo-dada,2020,0.0
Neoclassicism,1880,0.0
Neoclassicism,1890,0.0
Neoclassicism,1900,0.0
Neoclassicism,1910,0.0
Neoclassicism,1920,0.0
Neoclassicism,1930,0.0
Neoclassicism,1940,1.0
Neoclassicism,1950,1.0
Neoclassicism,1960,1.0
Neoclassicism,1970,1.0
Neoclassicism,1980,1.6
Neoclassicism,1990,2.0
Neoclassicism,2000,1.8
Neoclassicism,2010,1.111
Neoclassicism,2020,0.0
Post-impressionism,1880,0.0
Post-impressionism,1890,0.0
Post-impressionism,1900,0.0
Post-impressionism,1910,0.0
Post-impressionism,1920,0.0
Post-impressionism,1930,1.0
Post-impressionism,1940,1.0
Post-impressionism,1950,0.0
Post-impressionism,1960,1.0
Post-impressionism,1970,1.0
Post-impressionism,1980,0.0
Post-impressionism,1990,0.0
Post-impressionism,2000,1.0
Post-impressionism,2010,0.0
Post-impressionism,2020,0.0
Renaissance,1880,1.0
Renaissance,1890,1.3
Renaissance,1900,2.2
Renaissance,1910,2.0
Renaissance,1920,2.9
Renaissance,1930,5.4
Renaissance,1940,7.6
Renaissance,1950,9.7
Renaissance,1960,9.6
Renaissance,1970,9.4
Renaissance,1980,9.0
Renaissance,1990,7.6
Renaissance,2000,4.5
Renaissance,2010,2.8
Renaissance,2020,1.0
Romanticism,1880,0.0
Romanticism,1890,0.0
Romanticism,1900,0.0
Romanticism,1910,0.0
Romanticism,1920,0.0
Romanticism,1930,0.0
Romanticism,1940,1.0
Romanticism,1950,1.0
Romanticism,1960,1.2
Romanticism,1970,1.0
Romanticism,1980,1.0
Romanticism,1990,1.0
Romanticism,2000,1.0
Romanticism,2010,1.0
Romanticism,2020,0.0
Sienese school,1880,0.0
Sienese school,1890,0.0
Sienese school,1900,0.0
Sienese school,1910,0.0
Sienese school,1920,0.0
Sienese school,1930,0.0
Sienese school,1940,1.0
Sienese school,1950,0.0
Sienese school,1960,0.0
Sienese school,1970,0.0
Sienese school,1980,1.0
Sienese school,1990,1.0
Sienese school,2000,0.0
Sienese school,2010,0.0
Sienese school,2020,0.0
Symbolism,1880,0.0
Symbolism,1890,0.0
Symbolism,1900,0.0
Symbolism,1910,0.0
Symbolism,1920,0.0
Symbolism,1930,0.0
Symbolism,1940,0.0
Symbolism,1950,0.0
Symbolism,1960,1.0
Symbolism,1970,0.0
Symbolism,1980,0.0
Symbolism,1990,0.0
Symbolism,2000,1.0
Symbolism,2010,0.0
Symbolism,2020,0.0
