keeper,collection,hasOtherObjectType,hasMainObjectType
Fondazione Federico Zeri,Archivio Luisa Vertova,photograph,
Getty Research Institute,Ellis K. Waterhouse notebooks and research files,,notebook
Bibliotheca Hertziana %u2013 Max Planck Institute of Art History,Nachlass Richard Krautheimer,,manuscript
Kunsthistorisches Institut in Florenz,Nachlass Kurt Badt,,notes
Kunsthistorisches Institut in Florenz,Nachlass Cornelius von Fabriczy,,Notes
Kunsthistorisches Institut in Florenz,Nachlass Ulrich Middeldorf,,letter
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,collage,
Kunsthistorisches Institut in Florenz,"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",,manuscript
Kunsthistorisches Institut in Florenz,Nachlass Kurt Badt,,correspondence
Getty Research Institute,Leo Steinberg research papers,photograph,
Kunsthistorisches Institut in Florenz,Nachlass Werner Cohn,,document
Getty Research Institute,John Pope-Hennessy papers,,negative
Getty Research Institute,Ulrich Middledorf papers,,book
Fondazione Federico Zeri,Fototeca Julian Kliemann,,photograph
Getty Research Institute,Leo Steinberg research papers,,notebook
Bibliotheca Hertziana %u2013 Max Planck Institute of Art History,Nachlass Richard Krautheimer,,offprint
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,,bibliographic card
Kunsthistorisches Institut in Florenz,Nachlass Ulrich Middeldorf,,notes
Kunsthistorisches Institut in Florenz,Fondo Aby Warburg,note,
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,,press draft
Fondazione Federico Zeri,Fototeca Zeri,archive document,
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,,personal document
Kunsthistorisches Institut in Florenz,Nachlass Kurt Badt,,TypeScript
Kunsthistorisches Institut in Florenz,"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",,printed matter
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,sketch,
Kunsthistorisches Institut in Florenz,Fondo Aby Warburg,,archive document
Getty Research Institute,Ulrich Middledorf papers,,offprint
Fondazione Federico Zeri,Fototeca Zeri,,photograph
Getty Research Institute,Leo Steinberg research papers,,correspondence
Fondazione Federico Zeri,Archivio Luisa Vertova,,archive document
Fondazione Federico Zeri,Fototeca Fahy,photograph,
Kunsthistorisches Institut in Florenz,"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",,Notes
Getty Research Institute,Ulrich Middledorf papers,,correspondence
Kunsthistorisches Institut in Florenz,Nachlass Ulrich Middeldorf,,card
Kunsthistorisches Institut in Florenz,Nachlass Ulrich Middeldorf,photograph,
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,photograph,
Kunsthistorisches Institut in Florenz,"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",typescript,
Getty Research Institute,John Pope-Hennessy papers,,photograph
Fondazione Federico Zeri,Fototeca Julian Kliemann,postcard,
Bibliotheca Hertziana %u2013 Max Planck Institute of Art History,Nachlass Ernst Steinmann,,manuscript
Getty Research Institute,Ulrich Middledorf papers,,journal
Getty Research Institute,John Pope-Hennessy papers,,archive document
Kunsthistorisches Institut in Florenz,Nachlass Kurt Badt,,newspaper clipping
Kunsthistorisches Institut in Florenz,Nachlass Werner Cohn,photograph,
Getty Research Institute,Leo Steinberg research papers,,photographic print
Getty Research Institute,Ellis K. Waterhouse notebooks and research files,manuscript,
Getty Research Institute,Ellis K. Waterhouse notebooks and research files,archive document,
Getty Research Institute,Ulrich Middledorf papers,photograph,
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,,letter
Kunsthistorisches Institut in Florenz,"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",,newspaper clipping
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,,note
Getty Research Institute,Ellis K. Waterhouse notebooks and research files,,catalogue
Fondazione Federico Zeri,Fototeca Stefano Tumidei,archive document,
Kunsthistorisches Institut in Florenz,Nachlass Cornelius von Fabriczy,,photograph
Kunsthistorisches Institut in Florenz,"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",correspondence,
Getty Research Institute,Ellis K. Waterhouse notebooks and research files,,photograph
Kunsthistorisches Institut in Florenz,Nachlass Kurt Badt,,printed matter
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,newspaper clipping,
Fondazione Federico Zeri,Fototeca Fahy,,archive document
Fondazione Federico Zeri,Fototeca Stefano Tumidei,,photograph
Kunsthistorisches Institut in Florenz,Nachlass Ulrich Middeldorf,,typescript
Getty Research Institute,Ulrich Middledorf papers,,clipping
Bibliotheca Hertziana %u2013 Max Planck Institute of Art History,Nachlass Ernst Steinmann,,typescript
Getty Research Institute,Ellis K. Waterhouse notebooks and research files,microfiche,
Bibliotheca Hertziana %u2013 Max Planck Institute of Art History,Nachlass Ernst Steinmann,,archive document
Bibliotheca Hertziana %u2013 Max Planck Institute of Art History,Nachlass Richard Krautheimer,,photograph
Getty Research Institute,Ulrich Middledorf papers,postcard,
Bibliotheca Hertziana %u2013 Max Planck Institute of Art History,Nachlass Richard Krautheimer,,typescript
Kunsthistorisches Institut in Florenz,Gustav Ludwig-Vermächtnis,,transcription
Getty Research Institute,Ellis K. Waterhouse notebooks and research files,drawing,
Kunsthistorisches Institut in Florenz,Fondo Aby Warburg,photograph,
