year,count_coll
1881,1
1888,1
1889,1
1890,1
1891,1
1892,2
1893,1
1894,1
1895,1
1896,1
1897,2
1898,2
1899,1
1900,1
1901,2
1902,2
1903,3
1904,2
1905,3
1906,2
1907,3
1908,2
1909,2
1910,2
1911,1
1912,2
1913,2
1914,3
1915,2
1916,2
1917,2
1918,2
1919,2
1920,2
1921,2
1922,2
1923,2
1924,2
1925,4
1926,4
1927,4
1928,3
1929,4
1930,4
1931,5
1932,6
1933,5
1934,5
1935,5
1936,6
1937,6
1938,6
1939,6
1940,6
1941,6
1942,6
1943,7
1944,7
1945,8
1946,8
1947,9
1948,9
1949,10
1950,9
1951,10
1952,11
1953,10
1954,9
1955,10
1956,9
1957,9
1958,10
1959,10
1960,10
1961,9
1962,9
1963,9
1964,9
1965,10
1966,10
1967,10
1968,10
1969,10
1970,11
1971,9
1972,9
1973,9
1974,9
1975,10
1976,9
1977,9
1978,10
1979,9
1980,10
1981,11
1982,7
1983,9
1984,8
1985,9
1986,9
1987,9
1988,9
1989,9
1990,9
1991,9
1992,9
1993,8
1994,8
1995,9
1996,7
1997,6
1998,6
1999,5
2000,6
2001,7
2002,5
2003,5
2004,4
2005,4
2006,4
2007,4
2008,3
2009,3
2010,3
2011,4
2012,3
2013,3
2014,3
2015,3
2016,3
2017,2
2018,3
2019,1
2020,1
